Step,ObjectName,Description,Action,Input,Condition,Reference
1,Browser,Open the Url [<Data>] in the Browser,Open,@https://spritz.cognizant.com/login.php,,
2,User ID :,"Click the [<Object>] ",Click,,,Cognizant
3,User ID :,Enter the value [<Data>] in the Field [<Object>],Set,@587466,,Cognizant
4,Password :,Enter the Decrypted value [<Data>] in the Field [<Object>],setEncrypted,@NjUrOCs4Kw== Enc,,Cognizant
5,Login,"Click the [<Object>] ",Click,,,Cognizant
6,Invalid username and password,Assert if [<Object>]'s Text Equals [<Data>],assertElementTextEquals,@Invalid username and password,,Cognizant
7,Username,Enter the value [<Data>] in the Field [<Object>],Set,@admin,,Sign
8,Password,Enter the Decrypted value [<Data>] in the Field [<Object>],setEncrypted,@YWRtaW4xMjM= Enc,,Sign
9,Sign in,"Click the [<Object>] ",Click,,,Sign
10,Password,Enter the Decrypted value [<Data>] in the Field [<Object>],setEncrypted,@YWRtaW4xMjM= Enc,,Sign
11,Sign in,"Click the [<Object>] ",Click,,,Sign
12,CITS_Freestyle_Local,"Click the [<Object>] ",Click,,,Dashboard
13,Build Now,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local
14,"#2","Click the [<Object>] ",Click,,,CITS_Freestyle_Local
15,Console Output,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local1
16,Username,Enter the value [<Data>] in the Field [<Object>],Set,@admin,,Sign
17,Password,Enter the Decrypted value [<Data>] in the Field [<Object>],setEncrypted,@YWRtaW4xMjM= Enc,,Sign
18,remember_me,"Click the [<Object>] ",Click,,,Sign
19,Sign in,"Click the [<Object>] ",Click,,,Sign
20,CITS_Freestyle_Local,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local2
21,Configure,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local
22,General,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
23,CITS_Freestyle_Local,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
24,Build with Parameters,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local
25,value,"Click the [<Object>] ",Click,,,Jenkins
26,value,Enter the value [<Data>] in the Field [<Object>],Set,@Projects\SampleProject,,Jenkins
27,value1,"Click the [<Object>] ",Click,,,Jenkins
28,value1,Enter the value [<Data>] in the Field [<Object>],Set,@Spritz_Webpage,,Jenkins
29,value2,"Click the [<Object>] ",Click,,,Jenkins
30,value2,Enter the value [<Data>] in the Field [<Object>],Set,@Login,,Jenkins
31,value3,"Click the [<Object>] ",Click,,,Jenkins
32,value3,Enter the value [<Data>] in the Field [<Object>],Set,@Chrome,,Jenkins
33,Build,"Click the [<Object>] ",Click,,,Jenkins
34,"#3","Click the [<Object>] ",Click,,,CITS_Freestyle_Local
35,Console Output,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local4
36,CITS_Freestyle_Local,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local5
37,Build with Parameters,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local
38,Configure,"Click the [<Object>] ",Click,,,Jenkins
39,parameter.defaultValue,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
40,parameter.defaultValue,Enter the value [<Data>] in the Field [<Object>],Set,@Projects\SampleProject,,CITS_Freestyle_Local3
41,parameter.description,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
42,parameter.defaultValue1,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
43,parameter.defaultValue1,Enter the value [<Data>] in the Field [<Object>],Set,@Spritz_Webpage,,CITS_Freestyle_Local3
44,parameter.defaultValue2,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
45,parameter.defaultValue2,Enter the value [<Data>] in the Field [<Object>],Set,@Login,,CITS_Freestyle_Local3
46,parameter.defaultValue3,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
47,parameter.defaultValue4,Enter the value [<Data>] in the Field [<Object>],Set,@Chrome,,CITS_Freestyle_Local3
48,Save,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local3
49,Build with Parameters,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local
50,Build1,"Click the [<Object>] ",Click,,,Jenkins
51,"#4","Click the [<Object>] ",Click,,,CITS_Freestyle_Local
52,Console Output,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local6
53,CITS_Freestyle_Local,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local7
54,"#41","Click the [<Object>] ",Click,,,CITS_Freestyle_Local
55,CITS_Freestyle_Local,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local6
56,Jenkins,"Click the [<Object>] ",Click,,,CITS_Freestyle_Local
57,Manage Jenkins,"Click the [<Object>] ",Click,,,Dashboard
58,Manage Plugins,"Click the [<Object>] ",Click,,,Manage
59,Available,"Click the [<Object>] ",Click,,,Update
60,filter-box,Enter the value [<Data>] in the Field [<Object>],Set,@green balls,,Update
61,plugin.greenballs.default,"Click the [<Object>] ",Click,,,Update
62,Install without restart,"Click the [<Object>] ",Click,,,Update
63,Update Center,"Click the [<Object>] ",Click,,,Update
64,Jenkins,"Click the [<Object>] ",Click,,,Update
65,Manage Jenkins,"Click the [<Object>] ",Click,,,Dashboard
66,Manage Plugins,"Click the [<Object>] ",Click,,,Manage
67,Installed,"Click the [<Object>] ",Click,,,Update
68,filter-box,"Click the [<Object>] ",Click,,,Update
69,filter-box,Enter the value [<Data>] in the Field [<Object>],Set,@html,,Update
70,Available1,"Click the [<Object>] ",Click,,,Update
71,filter-box,Enter the value [<Data>] in the Field [<Object>],Set,@html pu,,Update
72,plugin.htmlpublisher.default,"Click the [<Object>] ",Click,,,Update
73,Install without restart,"Click the [<Object>] ",Click,,,Update
74,Jenkins,"Click the [<Object>] ",Click,,,Update
